time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),precipitation (mm),rain (mm),snowfall (cm),surface_pressure (hPa),cloud_cover (%),wind_speed_10m (km/h),wind_direction_10m (°),soil_temperature_0_to_7cm (°C),soil_moisture_0_to_7cm (m³/m³),is_day ()
2023-01-01T00:00,7.7,85,5.3,5.5,0.00,0.00,0.00,992.7,7,6.7,144,2.6,0.357,0
2023-01-01T01:00,7.8,84,5.2,5.7,0.00,0.00,0.00,992.8,4,6.4,133,2.1,0.356,0
2023-01-01T02:00,4.8,92,3.6,1.9,0.00,0.00,0.00,992.5,10,9.2,141,1.8,0.356,0
2023-01-01T03:00,4.0,95,3.2,0.9,0.00,0.00,0.00,991.9,27,10.5,142,1.5,0.356,0
2023-01-01T04:00,4.3,94,3.4,1.4,0.00,0.00,0.00,992.0,25,8.9,137,1.2,0.356,0
2023-01-01T05:00,2.8,96,2.3,-0.7,0.00,0.00,0.00,991.8,29,12.2,152,1.1,0.356,0
2023-01-01T06:00,3.3,96,2.7,-0.2,0.00,0.00,0.00,992.0,30,12.1,157,1.2,0.356,0
2023-01-01T07:00,5.9,92,4.7,3.4,0.00,0.00,0.00,992.2,30,8.0,162,1.6,0.356,1
2023-01-01T08:00,7.7,89,6.0,5.5,0.00,0.00,0.00,992.6,25,7.9,156,2.5,0.356,1
2023-01-01T09:00,10.5,81,7.4,8.8,0.00,0.00,0.00,993.1,11,6.6,171,4.2,0.356,1
2023-01-01T10:00,13.0,74,8.4,11.5,0.00,0.00,0.00,993.4,29,7.3,160,6.2,0.356,1
2023-01-01T11:00,14.0,69,8.5,12.3,0.00,0.00,0.00,992.9,10,8.8,161,7.6,0.355,1
2023-01-01T12:00,15.6,68,9.7,15.1,0.00,0.00,0.00,993.0,0,2.6,124,9.8,0.357,1
2023-01-01T13:00,15.8,70,10.2,15.5,0.00,0.00,0.00,992.9,4,2.6,146,10.2,0.356,1
2023-01-01T14:00,15.5,66,9.1,15.0,0.00,0.00,0.00,993.2,4,1.8,90,10.0,0.356,1
2023-01-01T15:00,14.2,70,8.8,13.2,0.00,0.00,0.00,993.5,0,4.4,145,8.7,0.356,1
2023-01-01T16:00,11.7,78,8.0,10.5,0.00,0.00,0.00,993.8,0,4.8,193,7.1,0.356,0
2023-01-01T17:00,8.2,89,6.4,6.7,0.00,0.00,0.00,993.8,20,3.5,246,5.8,0.356,0
2023-01-01T18:00,4.9,97,4.5,3.1,0.00,0.00,0.00,993.9,29,3.4,252,4.9,0.356,0
